FAMILLE_METIER;LIBELLE_LONG;LIBELLE_EDITION;DATE_OUVERTURE;DATE_FERMETURE;DATE_INTERVENTION;N_COMMENTAIRE
001;CONSTRUCTION DURABLE DU BATIMENT ET DES TRAVAUX PUBLICS;Construction durable du bâtiment et des travaux publics;01/09/2019;;10/02/2020;
002;GESTION ADMINISTRATIVE, DU TRANSPORT ET DE LA LOGISTIQUE;Gestion administrative, du transport et de la logistique;01/09/2019;;10/02/2020;
003;RELATION CLIENT;Relation client;01/09/2019;;10/02/2020;
004;MER;Mer;01/09/2019;;10/02/2020;
999;SPECIALITE HORS FAMILLE DE METIERS;Spécialité hors famille de métiers;01/09/2019;;10/02/2020;
005;INDUSTRIES GRAPHIQUES ET COMMUNICATION;Industries graphiques et communication;01/09/2020;;17/03/2020;
006;ALIMENTATION;Alimentation;01/09/2020;;17/03/2020;
007;BEAUTE ET BIEN-ETRE;Beauté et bien-être;01/09/2020;;17/03/2020;
008;ETUDES ET MODELISATION NUMERIQUE DU BATIMENT;Etudes et modélisation numérique du bâtiment;01/09/2020;;17/03/2020;
009;AERONAUTIQUE;Aéronautique;01/09/2020;;17/03/2020;
010;HOTELLERIE-RESTAURATION;Hôtellerie-restauration;01/09/2020;;17/03/2020;
011;MAINTENANCE DES MATERIELS ET DES VEHICULES;Maintenance des matériels et des véhicules;01/09/2021;;21/05/2021;
012;REALISATION D'ENSEMBLES MECANIQUES ET INDUSTRIELS;Réalisation d'ensembles mécaniques et industriels;01/09/2021;;21/05/2021;
013;AGENCEMENT, MENUISERIE ET AMEUBLEMENT;Agencement, menuiserie et ameublement;01/09/2021;;21/05/2021;
014;TRANSITIONS NUMERIQUE ET ENERGETIQUE;Transitions numérique et énergétique;01/09/2021;;21/05/2021;
015;PILOTAGE ET MAINTENANCE D'INSTALLATIONS AUTOMATISEES;Pilotage et maintenance d'installations automatisées;01/09/2021;;21/05/2021;
016_temp;NATURE - JARDIN - PAYSAGE - FORET;Nature - jardin - paysage - forêt;;;;
017_temp;ALIMENTATION-BIO-INDUSTRIE-LABORATOIRE;Alimentation-bio-industrie-laboratoire;;;;
018_temp;PRODUCTIONS;Productions;;;;
019_temp;CONSEIL VENTE;Conseil vente;;;;